Заголовок,Ссылка
Узбекистан предупредил о проверках граждан в Казахстане из-за РФ,https://news.mail.ru/politics/61000011/
В России пообещали контрмеры на создаваемые Японией угрозы,https://news.mail.ru/politics/61002986/
Такер Карлсон взял интервью у живущей в РФ экс-помощницы Байдена,https://news.mail.ru/politics/61001808/
"L’Express: поездка Путина в Пекин означает, что КНР не бросит РФ",https://news.mail.ru/politics/61001449/
Силы ПВО сбили ночью 15 снарядов РСЗО Vampire и шесть БПЛА ВСУ,https://news.mail.ru/incident/61002640/
Виталий Савельев стал кандидатом на пост вице-премьера,https://news.mail.ru/politics/60999975/
Bloomberg: российские миллиардеры начали возвращать активы в РФ,https://news.mail.ru/economics/61000718/
Российские хакеры разместили на украинских сайтах цитату Путина,https://news.mail.ru/incident/61001358/
В Грузии ввели новые условия въезда для россиян,https://news.mail.ru/society/61002267/
Гонконгский поставщик Renault подал иск о банкротстве «Москвича»,https://news.mail.ru/economics/60999793/
МВД назвало условия для нахождения украинцев в России,https://news.mail.ru/society/60997805/
